,Date,Close,High,Low,Open,Volume,Symbol
204,2025-08-19,1419.949951171875,1421.800048828125,1389.699951171875,1389.699951171875,1318445,RELIANCE.BO
205,2025-08-20,1412.449951171875,1424.5999755859375,1410.199951171875,1414.949951171875,429887,RELIANCE.BO
206,2025-08-21,1424.6500244140625,1431.800048828125,1421.0,1424.0,1253962,RELIANCE.BO
207,2025-08-22,1409.300048828125,1423.5999755859375,1408.0,1423.5999755859375,334227,RELIANCE.BO
208,2025-08-25,1412.9000244140625,1419.0,1405.550048828125,1413.050048828125,767068,RELIANCE.BO
209,2025-08-26,1385.300048828125,1409.949951171875,1381.4000244140625,1409.949951171875,1696762,RELIANCE.BO
210,2025-08-28,1387.6500244140625,1392.800048828125,1367.0,1387.050048828125,422516,RELIANCE.BO
211,2025-08-29,1357.050048828125,1403.0,1350.300048828125,1384.199951171875,870452,RELIANCE.BO
212,2025-09-01,1353.8499755859375,1363.199951171875,1341.699951171875,1357.8499755859375,314139,RELIANCE.BO
213,2025-09-02,1366.300048828125,1384.6500244140625,1355.0,1357.75,466421,RELIANCE.BO
214,2025-09-03,1371.550048828125,1376.449951171875,1361.1500244140625,1369.9000244140625,308664,RELIANCE.BO
215,2025-09-04,1359.199951171875,1374.449951171875,1356.5999755859375,1370.0,838446,RELIANCE.BO
216,2025-09-05,1374.300048828125,1380.800048828125,1359.3499755859375,1365.9000244140625,371445,RELIANCE.BO
217,2025-09-08,1378.8499755859375,1385.9000244140625,1372.449951171875,1384.0,249868,RELIANCE.BO
218,2025-09-09,1376.3499755859375,1381.300048828125,1369.0,1378.8499755859375,271853,RELIANCE.BO
219,2025-09-10,1376.800048828125,1388.6500244140625,1373.699951171875,1382.199951171875,429951,RELIANCE.BO
220,2025-09-11,1383.5,1385.449951171875,1374.5999755859375,1376.6500244140625,897550,RELIANCE.BO
221,2025-09-12,1394.800048828125,1396.0999755859375,1380.800048828125,1383.5,505338,RELIANCE.BO
222,2025-09-15,1399.300048828125,1400.949951171875,1388.3499755859375,1395.0,304016,RELIANCE.BO
